PC1,PC2
17.6453,-9.01835
15.4818,-9.04803
33.1718,-4.32934
27.9392,-5.19564
105.315,16.9937
100.069,11.442
137.891,17.0307
77.7116,-2.00177
58.1239,-4.4139
99.7856,-2.86519
80.9107,-4.52289
64.4462,-4.45661
80.9107,-4.52289
64.4462,-4.45661
91.5536,3.55443
21.0869,-6.55634
81.3554,-7.91069
53.6818,-2.00977
53.6818,-2.00977
18.1219,-10.6894
16.791,-9.97907
24.6,-8.02296
18.9007,-9.44577
44.5659,-4.03443
44.5659,-4.03443
115.538,15.9888
48.6491,-5.30315
43.3769,-8.22099
25.1087,-9.44651
19.78,-9.28778
65.3871,-8.49506
104.268,3.53622
33.7343,-8.87234
25.5368,-9.86164
21.4167,-8.10409
17.7397,-9.37179
17.7397,-9.37179
34.8944,-4.20967
73.0719,-13.3592
39.5829,-9.42325
19.3567,-11.4282
50.2622,-4.03741
32.0856,-7.04291
39.693,-9.80631
30.2084,-7.71737
22.5923,-7.48462
82.5969,-2.07225
169.064,20.2872
37.7732,-10.35
63.1004,-11.3881
33.8047,-9.11292
27.5766,-9.75194
44.4397,-3.58067
82.5424,9.40378
55.6145,-6.13288
39.4776,-2.1328
18.9122,-9.86558
44.6862,-1.81331
24.8387,-8.48332
44.6862,-1.81331
28.4131,-8.68322
77.4662,5.79896
21.6571,-8.59756
71.6384,-10.1177
28.9925,-7.09404
53.4222,-11.1967
73.4034,8.08682
49.2614,-0.144418
19.1192,-10.5416
52.724,-7.62245
21.6571,-8.59756
27.8409,-8.43821
65.9449,-5.00734
31.024,-6.96208
48.4882,-8.00691
31.024,-6.96208
31.024,-6.96208
59.7222,-5.30303
40.3737,-3.44805
54.0998,-7.36179
46.8506,-5.87999
58.7877,-5.66076
53.3533,-3.64021
88.7355,12.327
48.4882,-8.00691
28.7972,-4.58696
95.3694,14.8673
28.2865,-6.44143
41.2137,-4.22608
138.524,-11.3137
52.8554,-2.9927
52.8554,-2.9927
44.5762,-0.768362
138.524,-11.3137
44.0507,-9.51629
68.6563,-1.81561
44.4066,-3.46306
32.0909,-9.23915
29.277,-8.11915
31.7782,-6.70982
34.7828,-8.91135
19.8399,-9.44581
56.5673,-11.2787
90.8112,2.86899
82.451,2.07588
78.9367,7.89857
22.7735,-8.76942
123.995,16.4221
137.37,15.6877
23.6201,-8.23205
128.659,10.8964
23.8608,-8.71428
61.0011,-13.1025
75.9475,-10.753
57.0069,-14.3452
63.29,1.06002
27.2529,-6.45147
63.29,1.06002
57.0069,-14.3452
53.1109,-5.34738
34.586,-3.12966
33.3156,-4.85194
39.7718,-7.91843
27.2529,-6.45147
70.4133,0.0324111
29.3923,-11.8243
21.6197,-8.45605
59.8723,-6.18638
21.6197,-8.45605
71.7023,-12.913
25.5159,-7.59388
59.8723,-6.18638
51.2687,4.06355
32.0038,-4.96446
30.5544,-6.79468
45.7418,-2.33368
24.052,-11.5613
29.4082,-3.47724
33.5818,-3.22583
79.6442,-7.00844
19.6416,-8.78425
30.0218,-4.89618
40.8878,-10.3853
40.8878,-10.3853
29.4694,-5.85945
40.4547,-8.49303
25.1377,-6.63298
71.5189,-0.250462
23.1169,-10.0423
24.8246,-5.52687
72.0096,-6.31993
25.1377,-6.63298
49.8307,-0.706938
28.5235,-11.6504
22.0924,-6.4488
29.5278,-9.36414
130.674,18.7582
18.3692,-8.30012
30.082,-7.63537
56.9407,-7.20232
22.1725,-10.061
24.2837,-6.90758
57.9815,-16.3379
51.6585,-5.34025
58.9514,-9.17103
74.1561,-4.43221
17.4628,-8.75632
28.1612,-8.18956
30.5055,-3.68295
19.4253,-8.00999
23.48,-7.74236
30.5055,-3.68295
33.5923,-3.2463
26.5729,-7.3209
20.6873,-8.81147
21.408,-7.70427
21.6953,-8.35271
27.6783,-7.92086
20.5005,-8.16303
20.5005,-8.16303
17.3939,-8.51699
76.0611,-11.1415
30.0552,-7.55209
62.2901,-6.70004
30.1193,-10.7274
32.2671,-10.6395
85.55,2.08802
96.3849,2.32092
19.4998,-8.63976
42.0993,-4.79975
121.05,0.902094
19.4998,-8.63976
85.55,2.08802
42.0993,-4.79975
85.5383,-10.5486
85.5383,-10.5486
27.2339,-6.38837
25.3404,-7.00708
30.4904,-9.10497
24.3925,-7.31077
16.8076,-9.71649
68.4865,-5.95516
50.3594,-12.4315
48.9037,-8.68731
68.4865,-5.95516
53.1275,-3.22172
18.9316,-9.93012
18.9316,-9.93012
154.152,19.5872
18.0275,-10.7102
19.0782,-7.13906
36.3682,-7.5836
113.333,1.12804
38.0959,-8.54907
47.3628,-4.393
140.891,5.34171
146.814,13.9962
118.111,14.9142
60.9323,-11.027
113.333,1.12804
91.9296,-2.17767
63.2467,-10.7842
35.4087,-2.36174
29.3216,-0.969422
45.9463,-4.51655
45.9463,-4.51655
38.517,-10.0818
36.597,-7.64227
29.3216,-0.969422
35.4087,-2.36174
16.3416,-8.44145
37.843,-3.96161
20.6248,-8.89342
52.5577,-6.64104
20.446,-8.22355
22.9178,-6.10117
57.4267,-3.43225
18.845,-9.62473
112.969,2.05866
31.6108,-5.74449
24.4271,-7.4134
75.6551,-5.34145
27.7903,-4.68178
28.4242,-5.80991
49.0147,-3.64977
48.0811,-4.00801
101.735,2.98425
28.1163,-11.6472
28.1163,-11.6472
22.0693,-12.1826
28.1276,-11.6876
22.0693,-12.1826
49.4497,-0.808138
22.6069,-8.66095
123.598,14.8982
117.599,1.4231
66.059,-5.03032
49.4497,-0.808138
22.6069,-8.66095
18.0544,-7.16319
18.0544,-7.16319
23.1178,-6.80142
47.5078,-7.47118
40.7674,-5.20655
47.5078,-7.47118
32.0437,-7.28293
50.9382,-3.15673
81.8529,3.09976
54.3445,-13.6939
17.6732,-9.12191
111.956,16.5718
110.777,16.7179
45.553,-8.23812
17.591,-9.20592
17.591,-9.20592
18.4039,-8.41932
25.5833,-10.0472
93.7451,-19.1402
40.4594,-1.19781
51.7401,-5.25191
103.278,14.3346
55.2071,-5.46671
16.5525,-9.18166
79.0851,2.27799
149.031,26.2026
79.0851,2.27799
45.6475,-0.866823
43.9306,-9.05422
113.701,7.64158
27.216,-6.31527
21.3425,-7.85692
32.197,-2.34843
26.8214,-10.3857
26.2034,-6.01154
39.3191,-6.68212
17.3346,-7.90355
39.3191,-6.68212
65.6531,3.34054
26.7712,-4.71154
24.7986,-10.8633
59.0564,-9.14009
67.1495,4.30428
43.7347,-6.54996
63.2474,-6.0577
19.5508,-8.81227
34.9256,-10.8624
32.6426,-5.75702
102.263,18.6324
77.4075,-3.84899
77.4075,-3.84899
33.2457,-10.0663
20.1203,-7.53778
19.5997,-8.62131
112.27,18.401
104.178,17.0285
35.3401,-4.68691
51.1749,-8.72215
63.0757,-3.18113
63.0757,-3.18113
18.0688,-7.22372
18.0688,-7.22372
33.6806,-3.18783
87.0097,6.7927
33.6806,-3.18783
22.0744,-6.75871
49.0273,-8.4259
86.924,11.1075
111.415,-4.14728
40.4566,-13.6172
149.241,20.7508
147.637,19.4772
26.1843,-5.94048
63.3904,-6.58951
44.8598,-6.51156
72.5404,-0.179592
44.8598,-6.51156
72.5404,-0.179592
44.8598,-6.51156
14.4904,-9.09601
23.0755,-6.24422
17.3444,-8.33241
32.0129,-7.16341
148.626,24.5379
35.1461,-4.36516
158.476,19.1725
77.3152,-5.65144
33.785,-6.49554
31.8077,-3.88305
58.1939,-4.64584
35.1461,-4.36516
49.0876,-11.6179
22.6192,-5.05529
16.3572,-8.43336
22.6192,-5.05529
46.0881,-3.92066
30.3449,-5.30401
16.4679,-8.90167
58.0442,-2.33763
54.9131,-9.51328
19.2718,-7.46796
18.6276,-8.84865
36.3574,-9.73439
18.6276,-8.84865
53.317,-12.9807
16.1558,-7.78747
153.59,20.7239
16.1558,-7.78747
20.7632,-8.71324
35.3015,-7.0986
20.7632,-8.71324
35.1897,-6.69424
97.2083,-9.10647
54.6071,-6.58211
44.8698,-6.93462
34.4223,-9.82797
66.2364,-10.4079
18.3204,-8.11789
155.389,19.1295
18.3204,-8.11789
43.6203,-3.23457
42.0983,-5.14131
12.048,-8.25457
19.8951,-6.38068
17.2934,-8.08722
93.4341,14.0415
65.2748,1.73295
123.148,18.3174
126.82,17.4013
49.1105,-6.2222
28.1682,-5.27117
28.1682,-5.27117
75.4749,2.98766
22.3903,-7.90762
92.9607,2.58262
28.1682,-5.27117
26.5646,-6.54438
87.6315,5.33537
16.9377,-7.27034
56.6009,1.42174
23.1767,-8.8296
41.9411,-7.14333
38.8114,-5.25121
37.4596,-7.0659
87.7667,4.48291
112.343,18.1306
37.3243,-6.53454
50.4219,0.867837
81.0757,2.54838
38.0411,-5.42153
50.4219,0.867837
51.9805,-0.248429
26.0832,-8.14137
49.597,-4.56276
26.0832,-8.14137
112.108,4.00722
51.9075,-2.54084
131.914,11.1024
15.4522,-8.92579
16.4279,-8.7236
53.9386,-4.9684
13.8028,-7.13844
13.8028,-7.13844
65.0256,-7.954
40.8707,-4.84658
17.2496,-8.33545
23.1573,-8.75556
74.591,5.37345
41.6387,-1.35248
26.2861,-8.48349
26.2861,-8.48349
62.4149,-1.66179
108.23,7.83114
43.7297,-8.71888
21.386,-12.6857
141.133,19.4409
21.7794,-7.90717
104.965,7.29169
103.683,10.3545
32.1686,-6.97797
59.4118,2.72751
70.9883,3.47949
34.9861,-5.97323
32.1686,-6.97797
44.9966,-6.60824
44.9966,-6.60824
71.2982,-1.98575
44.9966,-6.60824
36.4662,-6.82502
53.0881,-7.82223
37.8508,-7.69918
34.5338,-5.11158
34.5338,-5.11158
94.6229,-0.721346
102.85,19.8637
36.9495,-0.875539
22.7908,-8.21459
36.9495,-0.875539
47.1145,-1.68357
51.1736,-1.03925
75.4974,8.00877
98.1781,15.9241
97.5551,7.53551
34.5535,-2.63365
97.5551,7.53551
143.455,24.0121
144.4,24.3246
44.0695,5.38221
45.2954,5.07118
19.5633,-8.09615
49.1425,3.73718
21.1366,-6.73396
36.6588,-2.73431
94.8403,8.72674
48.0563,-1.00576
39.7199,-1.8689
100.262,6.00751
39.7199,-1.8689
87.9839,7.00818
63.1308,3.81889
63.1308,3.81889
62.7072,-2.71748
62.7072,-2.71748
120.266,17.542
84.6089,7.23974
131.808,18.4146
88.9816,9.69018
16.8998,-9.66728
29.5908,-7.0445
61.2567,5.3204
69.5631,-3.16917
48.2711,-9.45396
17.4763,-8.76228
17.4763,-8.76228
111.285,10.955
20.9468,-8.96319
87.387,10.5273
49.6935,-2.39364
20.6792,-5.84641
13.5557,-9.9387
13.5176,-9.81338
13.5557,-9.9387
14.8083,-7.0364
17.8324,-6.747
16.8832,-7.05292
27.8224,-8.08389
44.4345,-10.8594
10.3865,-9.69256
47.2487,-10.211
44.4345,-10.8594
33.3496,-5.30032
33.9501,-14.4056
52.5414,-6.23387
60.6422,4.59873
25.6552,-6.99373
46.8302,-6.19516
40.5108,-6.12708
40.5108,-6.12708
19.289,-7.50462
41.6397,-6.45182
11.3416,-9.40702
41.6397,-6.45182
54.957,-17.3375
29.6362,-11.1859
12.5607,-9.68683
29.6362,-11.1859
57.6353,-15.8459
61.165,-16.6237
28.7533,-11.7296
61.7866,-7.49313
106.859,0.96885
106.859,0.96885
31.8355,-6.94166
30.501,-8.0248
37.7476,-5.89115
37.6337,-12.0052
76.6003,-9.76346
91.3061,16.7979
49.7474,-12.8337
35.4908,-7.0289
35.4908,-7.0289
42.5467,-3.46926
35.4908,-7.0289
35.8465,-5.37147
25.8844,-7.81
25.8844,-7.81
124.501,15.3629
66.2339,-18.089
66.2339,-18.089
18.8215,-11.7114
66.2339,-18.089
51.5127,-4.44994
37.9811,-11.1042
29.4473,-10.8985
86.5219,10.3468
89.4491,10.9364
28.0756,-5.30624
86.179,8.63149
86.5219,10.3468
87.7724,9.94481
28.906,-9.70718
27.015,-10.3405
29.4473,-10.8985
50.7773,-12.437
52.0683,-15.5362
56.0392,-16.7743
55.5909,-10.8022
13.9534,-10.621
14.2171,-11.5488
19.9881,-9.62577
17.7692,-9.09588
52.0683,-15.5362
76.1071,-5.78364
90.1918,9.43638
25.2611,-8.9067
44.2103,-17.3628
31.3716,-10.7358
90.1918,9.43638
76.1071,-5.78364
33.5154,-5.53362
31.3448,-5.54044
64.0839,-11.2283
71.8866,-8.44948
102.464,8.20288
59.9222,-10.7582
87.7622,9.97262
22.4783,-10.024
87.7622,9.97262
89.9364,9.96101
50.7015,-12.1581
48.2218,-7.08374
50.7015,-12.1581
48.2218,-7.08374
14.8701,-10.1494
42.4371,-3.81718
38.2201,-8.62706
38.2201,-8.62706
22.7685,-10.5714
22.7685,-10.5714
114.897,19.6978
79.2986,9.17672
12.7716,-10.0732
69.6539,-10.7889
15.0194,-10.375
14.4371,-9.73518
12.4038,-9.6957
11.8177,-11.091
13.4003,-9.6947
15.0194,-10.375
9.42214,-10.3138
62.6032,7.85273
52.4158,-11.0913
86.0978,-3.87079
56.9633,-19.3129
27.2996,-8.78908
86.0978,-3.87079
56.9633,-19.3129
52.4158,-11.0913
33.1258,-9.64183
90.2731,-18.2331
86.2249,-18.8954
76.0518,9.32111
33.1258,-9.64183
23.6997,-10.6666
28.2682,-5.63596
41.8865,-4.4176
72.7281,-5.2207
41.8865,-4.4176
28.2682,-5.63596
75.9628,1.58914
75.9628,1.58914
29.1843,-5.98659
48.9557,-11.1175
14.9106,-9.97275
30.3124,-11.0446
21.8009,-11.5942
55.3685,-0.898942
47.8514,-1.01904
28.6642,-9.55895
23.7632,-8.37101
28.8826,-10.326
15.9462,-10.3493
25.532,-9.87427
25.532,-9.87427
25.532,-9.87427
15.9462,-10.3493
13.8936,-10.3902
13.0153,-11.3248
14.9309,-10.3938
26.8636,-7.6218
13.708,-10.1072
54.2116,-0.855849
43.5689,-13.2679
36.0604,-6.12504
43.6164,-8.71458
21.2671,-6.84311
19.0993,-6.84354
33.919,-13.9064
43.6164,-8.71458
54.7125,-9.16725
14.0833,-11.0646
115.157,14.3867
54.5146,-13.9542
25.1608,-5.95636
14.0919,-11.103
14.0919,-11.103
16.9854,-10.3578
15.7236,-9.55763
17.3315,-11.1181
80.0282,-6.8836
80.0282,-6.8836
123.079,11.2679
32.511,-5.61105
9.58127,-10.8965
21.0289,-9.29651
32.7589,-8.714
83.2572,-19.7595
21.0289,-9.29651
9.58127,-10.8965
15.041,-10.4263
10.3904,-10.1035
78.1208,-7.46494
33.2372,-11.8536
26.6043,-12.1988
33.2372,-11.8536
75.1105,-5.5924
55.0468,-11.7922
75.1105,-5.5924
91.0511,7.12265
46.4974,-7.55121
13.9221,-7.94042
13.9221,-7.94042
13.062,-8.19074
16.0819,-10.4704
15.7403,-9.60714
55.8715,-14.3742
32.0218,-9.77454
11.4978,-9.98636
52.6112,-11.6188
11.4978,-9.98636
32.0218,-9.77454
29.8562,-9.79825
28.9965,-10.3728
61.9956,-8.58471
16.2709,-11.1419
24.0116,-11.0582
35.7392,-5.35252
37.924,-12.703
10.1829,-9.34526
32.423,-10.8236
32.7847,-9.18632
115.521,3.19219
115.521,3.19219
26.9847,-7.67903
11.6097,-10.7393
11.6097,-10.7393
12.1418,-8.5804
12.2514,-9.34949
22.9516,-10.9671
47.9733,-6.17587
40.7444,-7.35265
59.4825,-9.94203
78.1097,-12.5135
22.9516,-10.9671
18.427,-10.6938
19.3022,-10.1374
17.1951,-7.74006
31.9635,-9.16943
52.006,-2.89458
20.3057,-7.83375
43.2192,-15.3301
60.6776,-2.47881
49.7827,-13.215
45.4808,-10.5399
37.1906,-8.64204
30.5541,-8.22727
45.4808,-10.5399
44.9102,-9.44176
55.9452,0.36214
47.4837,-17.2531
54.3323,-15.496
58.1493,-9.25546
16.8485,-7.33107
20.5146,-8.21935
58.1493,-9.25546
